text,author
Be thankful for everything that happens in your life; it's all an experience.,Roy T. Bennett
Sometimes you have to lose all you have to find out who you truly are.,"Roy T. Bennett, The Light in the Heart"
Thinking something does not make it true. Wanting something does not make it real.,"Michelle Hodkin, The Unbecoming of Mara Dyer"
"Stop comparing yourself to other people, just choose to be happy and live your own life.","Roy T. Bennett, The Light in the Heart"
You are not rich until you have a rich heart.,"Roy T. Bennett, The Light in the Heart"
You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.,Roy T. Bennett
"Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.","Roy T. Bennett, The Light in the Heart"
"Life is too short to waste any amount of time on wondering what other people think about you. In the first place, if they had better things going on in their lives, they wouldn't have the time to sit around and talk about you. What's important to me is not others' opinions of me, but what's important to me is my opinion of myself.",C. JoyBell C.
Let the improvement of yourself keep you so busy that you have no time to criticize others.,"Roy T. Bennett, The Light in the Heart"
"We can't be afraid of change. You may feel very secure in the pond that you are in, but if you never venture out of it, you will never know that there is such a thing as an ocean, a sea. Holding onto something that is good for you now, may be the very reason why you don't have something better.",C. JoyBell C.
"There will be a few times in your life when all your instincts will tell you to do something, something that defies logic, upsets your plans, and may seem crazy to others. When that happens, you do it. Listen to your instincts and ignore everything else. Ignore logic, ignore the odds, ignore the complications, and just go for it.","Judith McNaught, Remember When"
"There is no such thing as a ""broken family."" Family is family, and is not determined by marriage certificates, divorce papers, and adoption documents. Families are made in the heart. The only time family becomes null is when those ties in the heart are cut. If you cut those ties, those people are not your family. If you make those ties, those people are your family. And if you hate those ties, those people will still be your family because whatever you hate will always be with you.",C. JoyBell C.
Do not set aside your happiness. Do not wait to be happy in the future. The best time to be happy is always now.,Roy T. Bennett
Help others without any reason and give without the expectation of receiving anything in return.,"Roy T. Bennett, The Light in the Heart"
Believe in your infinite potential. Your only limitations are those you set upon yourself.,"Roy T. Bennett, The Light in the Heart"
"The unhappiest people in this world, are those who care the most about what other people think.",C. JoyBell C.
"Listen with curiosity. Speak with honesty. Act with integrity. The greatest problem with communication is we don't listen to understand. We listen to reply. When we listen with curiosity, we don't listen with the intent to reply. We listen for what's behind the words.","Roy T. Bennett, The Light in the Heart"
"Pain is a pesky part of being human, I've learned it feels like a stab wound to the heart, something I wish we could all do without, in our lives here. Pain is a sudden hurt that can't be escaped. But then I have also learned that because of pain, I can feel the beauty, tenderness, and freedom of healing. Pain feels like a fast stab wound to the heart. But then healing feels like the wind against your face when you are spreading your wings and flying through the air! We may not have wings growing out of our backs, but healing is the closest thing that will give us that wind against our faces.",C. JoyBell C.
It's your life; you don't need someone's permission to live the life you want. Be brave to live from your heart.,"Roy T. Bennett, The Light in the Heart"
"The more you feed your mind with positive thoughts, the more you can attract great things into your life.","Roy T. Bennett, The Light in the Heart"
"No matter what happens, or how bad it seems today, life does go on, and it will be better tomorrow.",Maya Angelou
Be Brave and Take Risks: You need to have faith in yourself. Be brave and take risks. You don't have to have it all figured out to move forward.,"Roy T. Bennett, The Light in the Heart"
Happiness depends on your mindset and attitude.,"Roy T. Bennett, The Light in the Heart"
Do Not Lie to Yourself,
Surround Yourself with People Who Believe in Your Dreams:,"Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you."
"When you do the right thing, you get the feeling of peace and serenity associated with it. Do it again and again.",Roy T. Bennett
"Do what you love, love what you do, and with all your heart give yourself to it.","Roy T. Bennett, The Light in the Heart"
"True happiness is to enjoy the present, without anxious dependence upon the future, not to amuse ourselves with either hopes or fears but to rest satisfied with what we have, which is sufficient, for he that is so wants nothing. The greatest blessings of mankind are within us and within our reach. A wise man is content with his lot, whatever it may be, without wishing for what he has not.",Seneca
"Once you realize you deserve a bright future, letting go of your dark past is the best choice you will ever make.","Roy T. Bennett, The Light in the Heart"
"If you believe very strongly in something, stand up and fight for it.","Roy T. Bennett, The Light in the Heart"
The outer world is a reflection of the inner world. Other people's perception of you is a reflection of them; your response to them is an awareness of you.,"Roy T. Bennett, The Light in the Heart"
"Last night I lost the world, and gained the universe.",C. JoyBell C.
"There is some kind of a sweet innocence in being human- in not having to be just happy or just sad- in the nature of being able to be both broken and whole, at the same time.",C. JoyBell C.
"Always remember people who have helped you along the way, and don't forget to lift someone up.","Roy T. Bennett, The Light in the Heart"
"I think that we are like stars. Something happens to burst us open; but when we burst open and think we are dying; we're actually turning into a supernova. And then when we look at ourselves again, we see that we're suddenly more beautiful than we ever were before!",C. JoyBell C.
"They say a good love is one that sits you down, gives you a drink of water, and pats you on top of the head. But I say a good love is one that casts you into the wind, sets you ablaze, makes you burn through the skies and ignite the night like a phoenix; the kind that cuts you loose like a wildfire and you can't stop running simply because you keep on burning everything that you touch! I say that's a good love; one that burns and flies, and you run with it!",C. JoyBell C.
"The biggest wall you have to climb is the one you build in your mind: Never let your mind talk you out of your dreams, trick you into giving up. Never let your mind become the greatest obstacle to success. To get your mind on the right track, the rest will follow.","Roy T. Bennett, The Light in the Heart"
Smile more. Smiling can make you and others happy.,"Roy T. Bennett, The Light in the Heart"
"No one loses anyone, because no one owns anyone. That is the true experience of freedom: having the most important thing in the world without owning it","Paulo Coelho, Eleven Minutes"
"Maturity is when you stop complaining and making excuses, and start making changes.","Roy T. Bennett, The Light in the Heart"
"Never stop dreaming,","never stop believing,"
Strong people have a strong sense of self-worth and self-awareness; they don't need the approval of others.,"Roy T. Bennett, The Light in the Heart"
It's never too late to change your life for the better. You don't have to take huge steps to change your life. Making even the smallest changes to your daily routine can make a big difference to your life.,"Roy T. Bennett, The Light in the Heart"
"Focus on your strengths, not your weaknesses.","Focus on your character, not your reputation."
What's done is done. What's gone is gone. One of life's lessons is always moving on. It's okay to look back to see how far you've come but keep moving forward.,"Roy T. Bennett, The Light in the Heart"
Sometimes all a person wants is an empathetic ear; all he or she needs is to talk it out. Just offering a listening ear and an understanding heart for his or her suffering can be a big comfort.,Roy T. Bennett
Do not let arrogance go to your head and despair to your heart; do not let compliments go to your head and criticisms to your heart; do not let success go to your head and failure to your heart.,"Roy T. Bennett, The Light in the Heart"
"Everyone you meet is a part of your journey, but not all of them are meant to stay in your life. Some people are just passing through to bring you gifts; either they're blessings or lessons.","Roy T. Bennett, The Light in the Heart"
"When the going gets tough, put one foot in front of the other and just keep going. Don't give up.","Roy T. Bennett, The Light in the Heart"
"You can be the most beautiful person in the world and everybody sees light and rainbows when they look at you, but if you yourself don't know it, all of that doesn't even matter. Every second that you spend on doubting your worth, every moment that you use to criticize yourself; is a second of your life wasted, is a moment of your life thrown away. It's not like you have forever, so don't waste any of your seconds, don't throw even one of your moments away.",C. JoyBell C.
"Count your blessings, not your problems. Count your own blessings, not someone else's. Remember that jealousy is when you count someone else's blessings instead of your own.","Roy T. Bennett, The Light in the Heart"
"Stop giving other people the power to control your happiness, your mind, and your life. If you don't take control of yourself and your own life, someone else is bound to try.","Roy T. Bennett, The Light in the Heart"
"A smile puts you on the right track. A smile makes the world a beautiful place. When you lose your smile, you lose your way in the chaos of life.","Roy T. Bennett, The Light in the Heart"
I believe there is another world waiting for us. A better world. And I'll be waiting for you there.,"David Mitchell, Cloud Atlas"
"People have to forgive. We don't have to like them, we don't have to be friends with them, we don't have to send them hearts in text messages, but we have to forgive them, to overlook, to forget. Because if we don't we are tying rocks to our feet, too much for our wings to carry!",C. JoyBell C.
"Home is the place where, when you have to go there, they have to take you in.",Robert Frost
"If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.","Roy T. Bennett, The Light in the Heart"
Patience Is Not the Ability to Wait:,"Patience is not the ability to wait. Patience is to be calm no matter what happens, constantly take action to turn it to positive growth opportunities, and have faith to believe that it will all work out in the end while you are waiting."
Nothing can disturb your peace of mind unless you allow it to.,"Roy T. Bennett, The Light in the Heart"
"You are unique. You have different talents and abilities. You don't have to always follow in the footsteps of others. And most important, you should always remind yourself that you don't have to do what everyone else is doing and have a responsibility to develop the talents you have been given.","Roy T. Bennett, The Light in the Heart"
"You're going to meet many people with domineering personalities: the loud, the obnoxious, those that noisily stake their claims in your territory and everywhere else they set foot on. This is the blueprint of a predator. Predators prey on gentleness, peace, calmness, sweetness and any positivity that they sniff out as weakness. Anything that is happy and at peace they mistake for weakness. It's not your job to change these people, but it's your job to show them that your peace and gentleness do not equate to weakness. I have always appeared to be fragile and delicate but the thing is, I am not fragile and I am not delicate. I am very gentle but I can show you that the gentle also possess a poison. I compare myself to silk. People mistake silk to be weak but a silk handkerchief can protect the wearer from a gunshot. There are many people who will want to befriend you if you fit the description of what they think is weak; predators want to have friends that they can dominate over because that makes them feel strong and important. The truth is that predators have no strength and no courage. It is you who are strong, and it is you who has courage. I have lost many a friend over the fact that when they attempt to rip me, they can't. They accuse me of being deceiving; I am not deceiving, I am just made of silk. It is they who are stupid and wrongly take gentleness and fairness for weakness. There are many more predators in this world, so I want you to be made of silk. You are silk.",C. JoyBell C.
"Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.","Roy T. Bennett, The Light in the Heart"
"You've got this life and while you've got it, you'd better kiss like you only have one moment, try to hold someone's hand like you will never get another chance to, look into people's eyes like they're the last you'll ever see, watch someone sleeping like there's no time left, jump if you feel like jumping, run if you feel like running, play music in your head when there is none, and eat cake like it's the only one left in the world!",C. JoyBell C.
"The strongest people find the courage and caring to help others, even if they are going through their own storm.","Roy T. Bennett, The Light in the Heart"
"I am my own biggest critic. Before anyone else has criticized me, I have already criticized myself. But for the rest of my life, I am going to be with me and I don't want to spend my life with someone who is always critical. So I am going to stop being my own critic. It's high time that I accept all the great things about me.",C. JoyBell C.
"I'm not in search of sanctity, sacredness, purity; these things are found after this life, not in this life; but in this life I search to be completely human: to feel, to give, to take, to laugh, to get lost, to be found, to dance, to love and to lust, to be so human.",C. JoyBell C.
Kindness is not a business. True kindness expects nothing in return and should never act with conditions.,"Roy T. Bennett, The Light in the Heart"
"Courage is feeling fear, not getting rid of fear, and taking action in the face of fear.","Roy T. Bennett, The Light in the Heart"
"If I am to be fallen into love, I will. And if as a result I will appear to be stupid, disillusioned, and of poor judgment, I will. And I would be damned if I cared what other people think. For I would rather be thought of as all of these things, than not love. If in loving, I become the naked woman on the horse, I will ride that horse with my head held high. This is my spirit. I am unbreakable.",C. JoyBell C.
"Perfectionism is the enemy of happiness. Embrace being perfectly imperfect. Learn from your mistakes and forgive yourself, you'll be happier. We make mistakes because we are imperfect. Learn from your mistakes, forgive yourself, and keep moving forward.","Roy T. Bennett, The Light in the Heart"
You are in charge of your own happiness; you don't need to wait for other people's permission to be happy.,"Roy T. Bennett, The Light in the Heart"
You Are the Master of Your Attitude,
Guard well your thoughts when alone and your words when accompanied.,Roy T. Bennett
"You cannot change anyone, but you can be the reason someone changes.","Roy T. Bennett, The Light in the Heart"
The surest way to make your dreams come true is to live them.,Roy T. Bennett
Being grateful does not mean that everything is necessarily good. It just means that you can accept it as a gift.,Roy T. Bennett
"To have what you have never had, you have to do what you have never done.","Roy T. Bennett, The Light in the Heart"
"Whenever something bad happens, keep calm, take a few deep breaths and shift the focus to something positive.",Roy T. Bennett
Dare to love yourself,as if you were a rainbow
"The person in life that you will always be with the most, is yourself. Because even when you are with others, you are still with yourself, too! When you wake up in the morning, you are with yourself, laying in bed at night you are with yourself, walking down the street in the sunlight you are with yourself.What kind of person do you want to walk down the street with? What kind of person do you want to wake up in the morning with? What kind of person do you want to see at the end of the day before you fall asleep? Because that person is yourself, and it's your responsibility to be that person you want to be with. I know I want to spend my life with a person who knows how to let things go, who's not full of hate, who's able to smile and be carefree. So that's who I have to be.",C. JoyBell C.
"When you go through a hard period,","When everything seems to oppose you,"
"Don't think about making life better for other people who don't even deserve you, rather, focus on making your life the best, for yourself and those who love you.",C. JoyBell C.
"Don't let others tell you what you can't do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.","Roy T. Bennett, The Light in the Heart"
"I think that the best thing we can do for our children is to allow them to do things for themselves, allow them to be strong, allow them to experience life on their own terms, allow them to take the subway... let them be better people, let them believe more in themselves.",C. JoyBell C.
My Life is My Message,Mahatma Gandhi
"You are not the victim of the world, but rather the master of your own destiny. It is your choices and decisions that determine your destiny.",Roy T. Bennett
"Anger is like flowing water; there's nothing wrong with it as long as you let it flow. Hate is like stagnant water; anger that you denied yourself the freedom to feel, the freedom to flow; water that you gathered in one place and left to forget. Stagnant water becomes dirty, stinky, disease-ridden, poisonous, deadly; that is your hate. On flowing water travels little paper boats; paper boats of forgiveness. Allow yourself to feel anger, allow your waters to flow, along with all the paper boats of forgiveness. Be human.",C. JoyBell C.
"Great leaders create more leaders, not followers.","Roy T. Bennett, The Light in the Heart"
"Always have a willing hand to help someone, you might be the only one that does.","Roy T. Bennett, The Light in the Heart"
"Things end. People leave. And you know what? Life goes on. Besides, if bad things didn't happen, how would you be able to feel the good ones?","Elizabeth Scott, Perfect You"
A smart person knows how to talk. A wise person knows when to be silent.,Roy T. Bennett
"If you don't give up on something you truly believe in, you will find a way.",Roy T. Bennett
"If you're not failing every now and again, it's a sign you're not doing anything very innovative.",Woody Allen
The creation of a thousand forests is in one acorn,Ralph Waldo Emerson
Be the positive impact on the lives of others.,Roy T. Bennett
"Never let hard lessons harden your heart; the hard lessons of life are meant to make you better, not bitter.","Roy T. Bennett, The Light in the Heart"
It's time to start living the life you've imagined.,Henry James
"No, this is not the beginning of a new chapter in my life; this is the beginning of a new book! That first book is already closed, ended, and tossed into the seas; this new book is newly opened, has just begun! Look, it is the first page! And it is a beautiful one!",C. JoyBell C.
"Growing up means learning what life is. When you're little, you have a set of ideals, standards, criteria, plans, outlooks, and you think that you have to sit around and wait for them to happen to you and then life will work. But life isn't like that, for anybody; you can't fall in love with a standard, you have to fall in love with a person. You can't live in a criteria, you have to live your life. You can't wait for your plans to materialize, because they may never materialize the way you think they will. You can't wait to watch your ideals and standards walk up to you, because you can't know what's yours until you have it. I always say, always take the first chance in case you never get a second one, but growing up takes that even one step further, growing up means that you have to hold on to what you have, when you have it, because what you have- that's yours- and all the ideals and criteria you have set in your head, those aren't yours, because those haven't happened to you.",C. JoyBell C.
Discipline Your Mind to Think Positively: Discipline your mind to see the good in every situation and look on the best side of every event.,"Roy T. Bennett, The Light in the Heart"
"Focus on your goals, not your fear.",Focus like a laser beam on your goals.
"You don't have to like someone, but you have to treat them as you wish to be treated.","Roy T. Bennett, The Light in the Heart"
Turn your obstacles into opportunities and your problems into possibilities.,"Roy T. Bennett, The Light in the Heart"
"I've come to believe that there exists in the universe something I call ""The Physics of The Quest"" — a force of nature governed by laws as real as the laws of gravity or momentum. And the rule of Quest Physics maybe goes like this: ""If you are brave enough to leave behind everything familiar and comforting (which can be anything from your house to your bitter old resentments) and set out on a truth-seeking journey (either externally or internally), and if you are truly willing to regard everything that happens to you on that journey as a clue, and if you accept everyone you meet along the way as a teacher, and if you are prepared – most of all – to face (and forgive) some very difficult realities about yourself... then truth will not be withheld from you."" Or so I've come to believe.","Elizabeth Gilbert, Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia"
"It's worth making time to find the things that really stir your soul. That's what makes you really feel alive. You have to say ‘no' to other things you're used to, and do it with all your heart.",Roy T. Bennett
Dreams don't work unless you take action. The surest way to make your dreams come true is to live them.,Roy T. Bennett
Most of us must learn to love people and use things rather than loving things and using people.,"Roy T. Bennett, The Light in the Heart"
Learning to distance yourself from all the negativity is one of the greatest lessons to achieve inner peace.,"Roy T. Bennett, The Light in the Heart"
May Light always surround you;,Hope kindle and rebound you.
It takes sunshine and rain to make a rainbow. There would be no rainbows without sunshine and rain.,"Roy T. Bennett, The Light in the Heart"
"When one has a grateful heart, life is so beautiful.","Roy T. Bennett, The Light in the Heart"
Some things cannot be taught; they must be experienced. You never learn the most valuable lessons in life until you go through your own journey.,Roy T. Bennett
When you look for a man- what you want to look for is a man with the heart of a poor boy and the mind of a conqueror.,C. JoyBell C.
It doesn't matter how many times you get knocked down. All that matters is you get up one more time than you were knocked down.,Roy T. Bennett
"For everything in this journey of life we are on, there is a right wing and a left wing: for the wing of love there is anger; for the wing of destiny there is fear; for the wing of pain there is healing; for the wing of hurt there is forgiveness; for the wing of pride there is humility; for the wing of giving there is taking; for the wing of tears there is joy; for the wing of rejection there is acceptance; for the wing of judgment there is grace; for the wing of honor there is shame; for the wing of letting go there is the wing of keeping. We can only fly with two wings and two wings can only stay in the air if there is a balance. Two beautiful wings is perfection. There is a generation of people who idealize perfection as the existence of only one of these wings every time. But I see that a bird with one wing is imperfect. An angel with one wing is imperfect. A butterfly with one wing is dead. So this generation of people strive to always cut off the other wing in the hopes of embodying their ideal of perfection, and in doing so, have created a crippled race.",C. JoyBell C.
"When I was little and running on the race track at school, I always stopped and waited for all the other kids so we could run together even though I knew (and everybody else knew) that I could run much faster than all of them! I pretended to read slowly so I could ""wait"" for everyone else who couldn't read as fast as I could! When my friends were short I pretended that I was short too and if my friend was sad I pretended to be unhappy. I could go on and on about all the ways I have limited myself, my whole life, by ""waiting"" for people. And the only thing that I've ever received in return is people thinking that they are faster than me, people thinking that they can make me feel bad about myself just because I let them and people thinking that I have to do whatever they say I should do. My mother used to teach me ""Cinderella is a perfect example to be"" but I have learned that Cinderella can go fuck herself, I'm not waiting for anybody, anymore! I'm going to run as fast as I can, fly as high as I can, I am going to soar and if you want you can come with me! But I'm not waiting for you anymore.",C. JoyBell C.
"Failure is a bend in the road, not the end of the road. Learn from failure and keep moving forward.",Roy T. Bennett
"It takes guts and humility to admit mistakes. Admitting we're wrong is courage, not weakness.","Roy T. Bennett, The Light in the Heart"
"Until you step into the unknown, you don't know what you're made of.",Roy T. Bennett
"I knew who I was this morning, but I've changed a few times since then.","Lewis Carroll, Alice's Adventures in Wonderland / Through the Looking-Glass"
I have learned that you can go anywhere you want to go and do anything you want to do and buy all the things that you want to buy and meet all the people that you want to meet and learn all the things that you desire to learn and if you do all these things but are not madly in love: you have still not begun to live.,C. JoyBell C.
What you stay focused on will grow.,Roy T. Bennett
Don't wait for things to happen. Make them happen.,Roy T. Bennett
"Before, I wanted to say: ""I found love!"" But now, I want to say: ""I found a person. And he belongs to me and I belong to him.",C. JoyBell C.
"You learn something valuable from all of the significant events and people, but you never touch your true potential until you challenge yourself to go beyond imposed limitations.",Roy T. Bennett
One of the most scariest thing in life is when you come to the realization that the only thing that can save you is...yourself,Demi Lovato
I don't fit into any stereotypes. And I like myself that way.,C. JoyBell C.
"If you don't know who you truly are, you'll never know what you really want.",Roy T. Bennett
"It is difficult to live in and enjoy the moment when you are thinking about the past or worrying about the future. You cannot change your past, but you can ruin the present by worrying about your future. Learn from the past, plan for the future. The more you live in and enjoy the present moment, the happier you will be.","Roy T. Bennett, The Light in the Heart"
"Challenge and adversity are meant to help you know who you are. Storms hit your weakness, but unlock your true strength.","Roy T. Bennett, The Light in the Heart"
Nothing makes a person happier than having a happy heart.,Roy T. Bennett
"Changing your outside world cannot make you happy if you are an unhappy person. The real personal change can only happen from the inside out. If you firstly create the change within yourself, you can turn your life around.","Roy T. Bennett, The Light in the Heart"
7 Effective Ways to Make Others Feel Important,
"But hoping,"" he said, ""is how the impossible can be possible after all.","Marissa Meyer, Heartless"
"And I told him, I said: ""One day you're going to miss the subway because it's not going to come. One of these days, it's going to break down and it's not going to come around and everyone else will just wait for the next one or will take the bus, or walk, or run to the next station: they will go on with their lives. And you're not going to be able to go on with your life! You'll be standing there, in the subway station, staring at the tube. Why? Because you think that everything has to happen perfectly and on time and when you think it's going to happen! Well guess what! That's not how things happen! And you'll be the only one who's not going to be able to go on with life, just because your subway broke down. So you know what, you've got to let go, you've got to know that things don't happen the way you think they're going to happen, but that's okay, because there's always the bus, there's always the next station...you can always take a cab.",C. JoyBell C.
"Don't wait for the right moment to start, start and make each moment right.","Roy T. Bennett, The Light in the Heart"
"When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.",Roy T. Bennett
"It's important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life.","Roy T. Bennett, The Light in the Heart"
The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.,"Roy T. Bennett, The Light in the Heart"
Good people see the good and bring out the best in other people.,"Roy T. Bennett, The Light in the Heart"
Good things happen in your life when you surround yourself with positive people.,"Roy T. Bennett, The Light in the Heart"
"Enjoy every step you take. If you're curious, there is always something new to be discovered in the backdrop of your daily life.","Roy T. Bennett, The Light in the Heart"
Gratitude builds a bridge to abundance.,"Roy T. Bennett, The Light in the Heart"
"We are all equal in the fact that we are all different. We are all the same in the fact that we will never be the same. We are united by the reality that all colours and all cultures are distinct & individual. We are harmonious in the reality that we are all held to this earth by the same gravity. We don't share blood, but we share the air that keeps us alive. I will not blind myself and say that my black brother is not different from me. I will not blind myself and say that my brown sister is not different from me. But my black brother is he as much as I am me. But my brown sister is she as much as I am me.",C. JoyBell C.
"Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.","Roy T. Bennett, The Light in the Heart"
"Life is never made unbearable by circumstances, but only by lack of meaning and purpose.",Victor Frankl
Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.,Roy T. Bennett
"Hearts may break, but hearts are the toughest of muscles, able to pump for a lifetime, seventy times a minute, and scarcely falter along the way. Even dreams, the most delicate and intangible of things, can prove remarkably difficult to kill.","Neil Gaiman, Fragile Things: Short Fictions and Wonders"
Do not let the roles you play in life make you forget who you are.,Roy T. Bennett
"You were born to stand out, stop trying to fit in.","Roy T. Bennett, The Light in the Heart"
You will never follow your own inner voice until you clear up the doubts in your mind.,Roy T. Bennett
Stop doing what is easy. Start doing what is right.,"Roy T. Bennett, The Light in the Heart"
Everyone enjoys being acknowledged and appreciated. Sometimes even the simplest act of gratitude can change someone's entire day. Take the time to recognize and value the people around you and appreciate those who make a difference in your lives.,Roy T. Bennett
"You can get a thousand no's from people, and only one ""yes"" from God.",Tyler Perry
Your time is way too valuable to be wasting on people that can't accept who you are.,Turcois Ominek
